name,bus,P1,Q1,P2,Q2,P3,Q3
 ,e182731,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026327,0.0,0.0,0.0,0.0,0.0,0.0
302370b0b,l3122823,0.0,0.0,9.73,2.44,0.0,0.0
 ,l3197643,0.0,0.0,9.73,2.43,0.0,0.0
 ,l2841636,0.0,0.0,5.84,1.46,0.0,0.0
 ,m1026324,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026323,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026320,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3104130,0.0,0.0,9.73,2.4400000000000004,0.0,0.0
 ,l2763072,0.0,0.0,9.73,2.44,0.0,0.0
 ,m4118754,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026312,0.0,0.0,0.0,0.0,0.0,0.0
391753b0b,l2973163,0.0,0.0,3.89,0.97,0.0,0.0
 ,m1026309,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2804260,0.0,0.0,9.73,2.44,0.0,0.0
 ,l2860488,0.0,0.0,9.73,2.43,0.0,0.0
 ,m1008742,0.0,0.0,0.0,0.0,0.0,0.0
391736b0b,l3029495,0.0,0.0,5.84,1.47,0.0,0.0
 ,d5565090-1_int,0.0,0.0,0.0,0.0,0.0,0.0
 ,l2673300,0.0,0.0,9.73,2.44,0.0,0.0
 ,m1008753,0.0,0.0,0.0,0.0,0.0,0.0
391740b0b,l3048200,0.0,0.0,3.89,0.97,0.0,0.0
 ,m1008733,0.0,0.0,0.0,0.0,0.0,0.0
225533675b0b,l3225319,0.0,0.0,14.59,3.65,0.0,0.0
 ,l3048201,0.0,0.0,9.73,2.43,0.0,0.0
 ,m1008743,0.0,0.0,0.0,0.0,0.0,0.0
391738b0b,l3104115,0.0,0.0,3.89,0.98,0.0,0.0
 ,m1008746,0.0,0.0,0.0,0.0,0.0,0.0
391743b0b,l3141390,0.0,0.0,9.73,2.43,0.0,0.0
391756b0b,l2879079,0.0,0.0,5.84,1.47,0.0,0.0
391757b0b,l2991917,0.0,0.0,3.89,0.98,0.0,0.0
 ,l2710537,0.0,0.0,9.73,2.44,0.0,0.0
 ,m1008752,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1008758,0.0,0.0,0.0,0.0,0.0,0.0
 ,m1026308,0.0,0.0,0.0,0.0,0.0,0.0
391737b0b,l2804247,0.0,0.0,9.73,2.44,0.0,0.0
 ,l2954339,0.0,0.0,9.73,2.44,0.0,0.0
 ,l2991902,0.0,0.0,9.73,2.44,0.0,0.0
 ,m1026339,0.0,0.0,0.0,0.0,0.0,0.0
391741b0b,l3216339,0.0,0.0,9.73,2.44,0.0,0.0
 ,l3085389,0.0,0.0,9.73,2.43,0.0,0.0
 ,m1026307,0.0,0.0,0.0,0.0,0.0,0.0
 ,l3085388,0.0,0.0,3.89,0.98,0.0,0.0
391750b0b,l2897764,0.0,0.0,9.73,2.43,0.0,0.0
391749b0b,l2991918,0.0,0.0,9.73,2.44,0.0,0.0
302367b0b,l2766727,0.0,0.0,5.84,1.46,0.0,0.0
 ,l2822859,0.0,0.0,9.73,2.44,0.0,0.0
302368b0b,l3029507,0.0,0.0,9.73,2.44,0.0,0.0
302368b0b,area_9area_68,0.0,0.0,0.0,0.0,0.0,0.0
302368b0b,area_68area_79,0.0,0.0,9.73,2.44,0.0,0.0
